Unnamed: 0,ETISPlus_Zone_ID,Name,Country,Geometric_center,Geometric_center_X,Geometric_center_Y,Network_Node_ID
1097,101010101,Mittelburgenland,AT,POINT (16.4982 47.5051),16.4982,47.5051,106388
1107,101010102,Nordburgenland,AT,POINT (16.7154 47.8762),16.7154,47.8762,106379
1085,101010103,Sudburgenland,AT,POINT (16.2631 47.1438),16.2631,47.1438,106399
1042,101010201,Mostviertel-Eisenwurzen,AT,POINT (14.9922 48.0445),14.9922,48.0445,106408
1069,101010202,Niederosterreich-Sud,AT,POINT (15.776 47.7563),15.776,47.7563,106439
1064,101010203,Sankt Polten,AT,POINT (15.6382 48.1391),15.6382,48.1391,106431
1057,101010204,Waldviertel,AT,POINT (15.3159 48.6448),15.3159,48.6448,106474
1090,101010205,Weinviertel,AT,POINT (16.3441 48.6579),16.3441,48.6579,201935
1091,101010206,Wiener Umland/Nordteil,AT,POINT (16.3454 48.3574),16.3454,48.3574,123885
1096,101010207,Wiener Umland/Sudteil,AT,POINT (16.491 48.0258),16.491,48.0258,201993
1092,101010300,Wien,AT,POINT (16.3794 48.2204),16.3794,48.2204,123893
995,101020101,Klagenfurt-Villach,AT,POINT (13.9759 46.6126),13.9759,46.6126,123541
970,101020102,Oberkarnten,AT,POINT (13.4578 46.8421),13.4578,46.8421,100074
1024,101020103,Unterkarnten,AT,POINT (14.5039 46.7249),14.5039,46.7249,100104
1058,101020201,Graz,AT,POINT (15.3895 47.1133),15.3895,47.1133,123730
1010,101020202,Liezen,AT,POINT (14.3512 47.5069),14.3512,47.5069,123593
1053,101020203,Ostliche Obersteiermark,AT,POINT (15.2325 47.5273),15.2325,47.5273,250229
1070,101020204,Oststeiermark,AT,POINT (15.7955 47.1162),15.7955,47.1162,106625
1056,101020205,West- und Sudsteiermark,AT,POINT (15.266 46.913),15.266,46.913,201928
1015,101020206,Westliche Obersteiermark,AT,POINT (14.4183 47.1885),14.4183,47.1885,100122
963,101030101,Innviertel,AT,POINT (13.3757 48.2804),13.3757,48.2804,202005
1003,101030102,Linz-Wels,AT,POINT (14.1376 48.2412),14.1376,48.2412,197964
1011,101030103,Muhlviertel,AT,POINT (14.3598 48.4644),14.3598,48.4644,201930
1012,101030104,Steyr-Kirchdorf,AT,POINT (14.3615 47.8711),14.3615,47.8711,100129
984,101030105,Traunviertel,AT,POINT (13.684 47.7977),13.684,47.7977,106705
982,101030201,Lungau,AT,POINT (13.657 47.12),13.657,47.12,106594
937,101030202,Pinzgau-Pongau,AT,POINT (12.8423 47.3478),12.8423,47.3478,123607
956,101030203,Salzburg und Umgebung,AT,POINT (13.2057 47.7497),13.2057,47.7497,201944
756,101030301,Ausserfern,AT,POINT (10.5827 47.3612),10.5827,47.3612,123640
825,101030302,Innsbruck,AT,POINT (11.3477 47.2064),11.3477,47.2064,260838
912,101030303,Osttirol,AT,POINT (12.5439 46.905),12.5439,46.905,202040
761,101030304,Tiroler Oberland,AT,POINT (10.6327 47.08),10.6327,47.08,123643
874,101030305,Tiroler Unterland,AT,POINT (12.0417 47.3563),12.0417,47.3563,123484
702,101030401,Bludenz-Bregenzer Wald,AT,POINT (9.92173 47.1719),9.92173,47.1719,201900
693,101030402,Rheintal-Bodenseegebiet,AT,POINT (9.76494 47.3716),9.76494,47.3716,123951
343,102010000,Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad,BE,POINT (4.36257 50.8387),4.36257,50.8387,110989
348,102020101,Arr. Antwerpen,BE,POINT (4.49672 51.277),4.49672,51.277,111055
347,102020102,Arr. Mechelen,BE,POINT (4.49509 51.0855),4.49509,51.0855,195887
366,102020103,Arr. Turnhout,BE,POINT (4.96384 51.2578),4.96384,51.2578,111054
376,102020201,Arr. Hasselt,BE,POINT (5.31234 50.9212),5.31234,50.9212,106828
388,102020202,Arr. Maaseik,BE,POINT (5.53505 51.1482),5.53505,51.1482,111169
385,102020203,Arr. Tongeren,BE,POINT (5.50033 50.8642),5.50033,50.8642,111145
330,102020301,Arr. Aalst,BE,POINT (3.95472 50.8608),3.95472,50.8608,195853
332,102020302,Arr. Dendermonde,BE,POINT (4.03199 51.0479),4.03199,51.0479,111238
322,102020303,Arr. Eeklo,BE,POINT (3.6084 51.2265),3.6084,51.2265,111262
323,102020304,Arr. Gent,BE,POINT (3.6649 51.0599),3.6649,51.0599,111270
324,102020305,Arr. Oudenaarde,BE,POINT (3.66659 50.8378),3.66659,50.8378,111296
335,102020306,Arr. Sint-Niklaas,BE,POINT (4.11352 51.2121),4.11352,51.2121,111311
340,102020401,Arr. Halle-Vilvoorde,BE,POINT (4.25393 50.8654),4.25393,50.8654,110970
