ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
11020703,107070304,118120401,1,21,17
11382550,107160002,124030304,1,13,10
19030088,107100105,113030000,3,3,2
13026287,153010200,101010202,1,43,30
12501576,133170102,118120101,1,2,2
15897237,102030305,101020201,2,6,4
19952284,124010101,102030203,3,24,16
19958937,124010202,107020503,3,3,2
16881369,112020604,133160302,2,2,1
20176632,128010103,110020101,3,2,1
18673197,107010402,112080104,3,73,43
19394722,110050202,107120004,3,14,5
17081582,115020202,107070202,2,15,7
19585940,112070105,107070106,3,22,10
12310157,128020201,115020201,1,3,2
18787159,107020505,130000201,3,4,2
19857410,118150101,118140403,3,32414,16971
17338094,124020102,107160009,2,13,9
10931067,107020704,107100308,1,136,111
15827782,101030202,107070303,2,20,13
10874714,107020406,118120105,1,8,7
12501237,133170102,107130201,1,2,1
13832805,107100503,107100115,4,16147,13235
13006281,148030100,128010102,1,4,27
18192242,149020200,148010700,2,2,1
18465175,101030303,107080017,3,8,4
10791578,107010409,107100403,1,208,170
17653388,130000106,131000203,2,4,2
10942373,107020711,107090404,1,180,148
17135836,118120303,126040106,2,7,4
19179748,107130101,133170102,3,2,1
18992864,107090310,118130508,3,6,4
10724704,107010103,102020201,1,164,135
20603041,125000102,107100208,3,59,32
10744975,107010202,118130200,1,45,37
19494160,112020402,124020300,3,115,52
16486311,107110105,107070205,2,1067,689
19804650,118130403,101030302,3,409,214
12523164,133180203,104000606,1,2,1
17378495,124040103,107100113,2,128,94
18546049,103030102,103040104,3,1376,617
19351464,110020200,126020204,3,7,3
16722984,110020401,107010407,2,2,1
20589388,114000301,114000303,3,33419,14986
16170746,107020602,126040106,2,2,2
20464832,133210105,102020508,3,66,35
16189686,107020702,107140005,2,4,2
10833792,107020203,107110310,1,63,52
20863805,148010500,101020205,3,7,3
18433446,101010300,126050105,3,723,428
20892109,148020400,113010202,3,110,44
11138583,107100106,107070306,1,791,648
19876487,118150402,107130306,3,9,5
11276571,107120001,107100511,1,2002,1641
18954867,107090105,107020109,3,469,278
11821418,115020203,107050001,1,11,8
